排名,电影名,评分,评论数,上映时间
1,西西里的美丽传说,8.9,1023567,2000-10-27
2,色，戒,8.7,872563,2007-11-01
3,小姐,8.5,508648,2016-05-14
4,苦月亮,8.4,148437,1992-09-23
5,情人,8.2,261448,1992-01-22
6,一树梨花压海棠,8.2,249463,1997-09-26
7,戏梦巴黎,8.1,230938,2003-09-01
8,大开眼戒,8.1,171349,1999-07-16
9,巴黎野玫瑰,8.1,44557,1986-04-09
10,女性瘾者：第一部,7.9,120313,2013-12-25
11,女性瘾者：第二部,7.9,83361,2013-12-25
12,性爱宝典,8.0,24944,1972-08-06
13,洛丽塔,7.8,107250,1962-06-13
14,爱神,7.7,63996,2004-09-10
15,性、谎言和录像带,7.7,44036,1989-08-18
16,我嫁了个怪蜀黍！,8.0,10552,1998-08-28
17,色情男女,7.6,43626,1996-11-28
18,不忠,7.6,73645,2002-05-10
19,云上的日子,7.6,72761,1995-09-03
20,再见箱舟,8.0,9113,1984-09-08
21,弓,7.6,55326,2005-05-12
22,唐朝豪放女,7.6,27181,1984-06-01
23,性书大亨,7.8,14788,1996-12-25
24,偷香,7.6,35511,1996-03-29
25,情迷六月花,7.6,27052,1990-09-28
26,钢琴教师,7.5,73549,2001-05-14
27,活色生香,7.6,26754,1997-10-29
28,罗马的房子,7.5,48793,2010-04-24
29,你妈妈也一样,7.6,22178,2001-06-08
30,白日美人,7.5,38798,1967-05-24
31,露西亚的情人,7.5,32770,2001-08-24
32,捆着我，绑着我,7.5,27831,1990-01-22
33,原罪,7.4,77403,2001-07-11
34,不羁夜,7.5,25728,1997-09-11
35,蜜桃成熟时,7.4,37087,1993-04-17
36,撒玛利亚女孩,7.4,51766,2004-03-05
37,色戒,7.5,21871,2002-04-30
38,好色一代男,8.0,5887,1991-01-18
39,失乐园,7.4,42823,1997-05-10
40,性工作者十日谈,7.4,23764,2007-05-17
41,爱你九周半,7.4,32899,1986-02-21
42,色即是空,7.3,123170,2002-12-13
43,羞耻,7.3,100427,2011-09-04
44,爱的那点性事,7.4,27834,2014-09-25
45,泳池情杀案,7.4,27634,2003-05-21
46,雏妓,7.5,15751,1998-10-31
47,湖畔的陌生人,7.4,22846,2013-05-17
48,情事,7.5,14467,1998-10-03
49,激情丛林,7.8,6880,1995
50,同船爱歌,7.5,14174,2016-02-15
51,漂流欲室,7.3,47162,2000-04-22
52,风月奇谭,7.5,7738,1972-11-16
53,烈火情人,7.3,39941,1992-12-02
54,反基督者,7.3,28600,2009-05-18
55,火口的两人,7.2,77605,2019-08-23
56,红字,7.3,24602,2004-10-28
57,教室别恋,7.2,37956,1995-11-03
58,少女情怀总是诗,7.4,12042,1977-03-16
59,坏小子,7.2,32107,2001-11-11
60,待绽蔷薇,7.4,10635,2012-03-11
61,巴黎最后的探戈,7.1,38938,1972-10-14
62,感官世界,7.0,96334,1976-05-15
63,红心女王,7.2,14253,2019-01-26
64,恋之罪,7.1,23155,2011-11-12
65,性爱巴士,7.1,22829,2006-05-20
66,大鸿米店,7.0,26935,2004-06-10
67,灭门惨案2：借种,7.1,11092,1994-05-20
68,土耳其狂欢,7.4,7467,1973-02-22
69,秘书,7.0,41337,2002-09-20
70,乳房与月亮,7.2,12086,1994-10-06
71,处女心经,7.2,11651,2000-05-27
72,艳舞女郎,7.1,13287,1995-09-22
73,天边一朵云,6.9,28046,2005-03-18
74,花,6.9,24321,2011-09-01
75,下众之爱,7.1,11189,2015-10-24
76,九歌,6.8,67710,2004-05-16
77,不可撤销,6.8,52809,2002-05-22
78,娼,7.3,5721,1997-09-13
79,爱恋,6.8,32417,2015-05-20
80,快乐到死,6.9,15782,1999-12-11
81,惊变,6.9,8554,1996-06-14
82,野性,7.0,10162,2018-05-10
83,年轻的亚当,7.1,7524,2003-09-26
84,爱奴,6.9,7685,1972-07-09
85,海角上的兄妹,7.3,5131,2018-07-14
86,梦二,7.6,3370,1991-05-31
87,不要向下看,7.3,4854,2008-10-30
88,上海异人娼馆,6.9,11900,1981-06-03
89,周末同床,6.8,18680,2002-04-25
90,慈禧秘密生活,6.7,24166,1995-03-17
91,玉蒲团之玉女心经,6.7,22301,1996-05-09
92,台北晚九朝五,6.7,22065,2002-11-07
93,少妇的诱惑,7.0,8398,1992-02-21
